,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
20,10.94,2.05,2.0,-2.89,-18.15,-5.99,0.0,-5.97,1025.75,-4.02,0.18,0.21,0.97,1.16,1.16,14.5,7.0,26.12,29.41,30.35,-7.2,891.62,-20.3,-7.76,-2.16,1.73,3.05,1.48,0.0,23.5,9.2,1.9,0.9,1.0,-0.8
21,10.07,2.24,2.2,-1.91,-19.46,-5.7,0.0,-6.21,1027.95,-5.49,0.22,0.21,1.06,1.14,1.14,18.0,6.5,26.72,31.92,32.83,-7.48,892.81,-20.43,-6.13,-2.16,2.02,3.1,5.63,0.0,22.8,10.8,1.2,0.5,0.5,-2.0
22,7.91,1.89,1.9,-1.5,-19.64,-5.75,0.0,-5.85,1027.7,-5.64,0.71,0.23,0.98,1.1,1.1,56.0,7.0,24.72,30.66,31.77,-7.55,892.77,-20.08,-5.73,-1.86,2.44,3.46,2.58,0.0,20.2,11.2,2.2,0.9,0.8,-1.0
23,7.0,1.48,1.5,-1.19,-19.87,-6.15,0.0,-6.33,1027.49,-5.72,0.93,0.28,0.93,0.99,0.98,70.19,8.5,23.99,32.77,32.62,-7.97,892.75,-19.69,-6.45,-1.68,2.5,3.53,6.17,0.0,18.3,9.5,3.3,1.4,1.3,-1.5
24,6.19,0.97,1.0,-0.54,-19.52,-2.95,0.0,-6.15,1028.45,-3.31,1.15,0.35,0.96,0.96,0.96,89.48,10.51,23.45,28.18,28.48,-3.45,893.8,-20.06,-6.44,-1.17,2.66,3.81,9.69,0.0,18.1,9.1,3.1,0.8,0.8,-0.9
25,0.0,1.62,1.6,-0.94,-14.07,-3.17,0.0,0.0,1023.33,0.0,0.68,1.36,1.55,1.64,1.64,68.0,45.0,33.0,41.0,40.5,-4.36,890.85,-22.57,-7.28,0.91,5.27,6.62,10.0,0.0,8.2,6.4,4.9,1.1,1.3,-3.5
26,5.45,1.12,1.1,-0.53,-13.19,-2.83,0.0,-3.2,1022.31,-2.85,0.93,1.03,1.6,1.68,1.68,95.5,33.0,35.5,43.75,43.5,-5.19,889.66,-22.82,-7.08,0.8,4.95,6.26,9.92,0.0,7.7,5.4,3.9,1.1,1.1,-4.5
27,4.54,1.23,1.2,-0.71,-12.79,-2.9,0.0,-2.9,1020.47,-2.65,0.84,0.96,1.72,1.71,1.71,80.0,32.5,38.0,44.5,43.5,-4.91,887.93,-22.16,-7.54,0.52,4.62,5.88,9.92,0.0,8.1,3.5,3.9,1.2,1.3,-4.4
28,5.25,1.46,1.5,-0.87,-12.58,-3.43,0.0,-3.41,1019.2,-2.9,0.6,1.02,1.8,1.76,1.76,61.0,36.0,41.0,45.0,44.5,-5.09,886.7,-22.67,-8.08,0.07,4.21,5.47,9.84,0.0,6.6,3.6,4.3,1.4,1.5,-6.1
29,5.52,1.58,1.6,-0.78,-11.93,-1.64,0.0,-3.64,1018.64,-2.01,0.54,1.26,1.81,1.85,1.85,55.5,47.0,41.5,43.5,44.0,-1.99,886.05,-22.99,-8.58,-0.04,4.09,5.3,8.83,0.0,7.8,6.4,4.0,1.1,1.2,-4.7
